2016/04/27,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2016/06/15,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2016/07/27,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2016/09/21,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2016/11/02,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2016/12/14,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.5
2017/02/01,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.75,0.75,0.75
2017/03/15,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,0.75
2017/05/03,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1,1,1
2017/06/14,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1
2017/07/26,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1.25
2017/09/20,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1.25
2017/11/01,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.25,1.25,1.25
2017/12/13,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.5,1.5,1.25
2018/01/31,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.50             ,1.50,1.50
2018/03/21,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.75             ,1.75,1.50
2018/05/02,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.75             ,1.75,1.75
2018/06/13,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.00             ,2.00,1.75
2018/08/01,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.00             ,2.00,2.00
2018/09/26,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.25             ,2.25,2.00
2018/11/08,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.25             ,2.25,2.25
2018/12/19,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.50             ,2.50,2.25
2019/01/30,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.5,2.5,2.5
2019/03/20,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.5,2.5,2.5
2019/05/01,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.5,2.5,2.5
2019/06/19,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.5,2.5,2.5
2019/07/31,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2.25,2.25,2.5
2019/09/18,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,2,2,2.25
2019/10/30,13:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.75,1.75,2
2019/12/11,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.75,1.75,1.75
2020/01/29,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,1.75,1.75,1.75
2020/03/03,11:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,,% ,1.25,,1.75
2020/03/15,17:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,,% ,0.25,,1.25
2020/04/29,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2020/06/10,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
2020/07/29,14:00:00,United States                   ,High Volatility Expected        ,Fed Interest Rate Decision                                                                                      ,In Line with Expectation        ,% ,0.25,0.25,0.25
