DATE_TIME,HIGH,LOW,OPEN,CLOSE,Event_value,Event_type,Time duration
1/9/2011 19:30,0.99716,0.99661,0.99712,0.99704,0.3,AUD_RETAILSALES,Long term
1/12/2011 19:30,0.99665,0.99451,0.99451,0.99586,5,AUD_UNEMP,Long term
1/13/2011 8:30,1.00054,0.99878,1.00051,0.99919,1.1,USD_PPI,Short term
1/23/2011 19:30,0.98839,0.9872,0.9873,0.98721,0.1,AUD_PPI,Long term
1/24/2011 19:30,0.99443,0.9938,0.99386,0.99406,0.4,AUD_CPI,Short term
1/26/2011 14:15,0.99721,0.99583,0.99686,0.99721,0.25,USD_IR,Short term
1/28/2011 8:30,0.99731,0.99603,0.99605,0.99731,3.2,USD_GDP,Long term
2/6/2011 19:30,1.01353,1.01302,1.01308,1.01331,0.2,AUD_RETAILSALES,Long term
2/9/2011 19:30,1.00914,1.00831,1.00853,1.00857,5,AUD_UNEMP,Long term
2/15/2011 8:30,1.00026,0.99912,0.99971,1.00018,0.3,USD_RETAIL,Short term
2/16/2011 8:30,0.99831,0.99709,0.99765,0.99733,0.8,USD_PPI,Long term
2/17/2011 8:30,1.00576,1.00382,1.0043,1.00564,0.2,USD_CPI,Long term
2/25/2011 8:30,1.01443,1.01348,1.01372,1.01376,2.8,USD_GDP,Long term
2/28/2011 19:30,1.01899,1.01842,1.01899,1.01847,0.4,AUD_RETAILSALES,Short term
3/1/2011 19:30,1.01273,1.01228,1.0127,1.01251,0.7,AUD_GDP,Long term
3/9/2011 19:30,1.01056,1.009,1.01056,1.00911,5,AUD_UNEMP,Long term
3/11/2011 8:30,1.00527,1.00185,1.0019,1.00508,1,USD_RETAIL,Long term
3/15/2011 13:15,0.99161,0.99027,0.99081,0.99154,0.25,USD_IR,Short term
3/16/2011 7:30,0.99143,0.98857,0.9904,0.98911,1.6,USD_PPI,Short term
3/17/2011 7:30,0.98429,0.98295,0.98415,0.98416,0.2,USD_CPI,Long term
