DATE_TIME,HIGH,LOW,OPEN,CLOSE,Event_value,Event_type,Time duration,Trend,Boundaries,strength,time
2011-01-13 8:30:00,82.841,82.728,82.732,82.818,1.1,USD_PPI,Short term,RANGE,0.0129,0.0411486014,8:30:00
2011-01-24 22:30:00,82.483,82.437,82.483,82.445,0.1,JPY_IR,Long term,RANGE,0.01085,0.04515909091,22:30:00
2011-01-26 14:15:00,82.425,82.323,82.388,82.326,0.25,USD_IR,Short term,RANGE,0.0468,0.06767694805,14:15:00
2011-01-28 8:30:00,82.387,82.298,82.385,82.298,3.2,USD_GDP,Short term,RANGE,0.017,0.05357523511,8:30:00
2011-02-15 8:30:00,83.843,83.773,83.781,83.788,0.3,USD_RETAIL,Long term,UP,0.0099,0.04459090909,8:30:00
2011-02-16 8:30:00,83.949,83.866,83.886,83.935,0.8,USD_PPI,Long term,RANGE,0.01135,0.0411486014,8:30:00
2011-02-17 8:30:00,83.47,83.288,83.457,83.288,0.2,USD_CPI,Long term,UP,0.01135,0.05904545455,8:30:00
2011-02-24 18:30:00,81.95,81.915,81.922,81.918,-0.2,JPY_CPI,Short term,DOWN,0.0096,-0.02881818182,18:30:00
2011-02-25 8:30:00,81.776,81.706,81.741,81.711,2.8,USD_GDP,Short term,DOWN,0.0075,-0.028,8:30:00
2011-02-28 18:30:00,81.941,81.877,81.941,81.884,4.9,JPY_UNEMP,Short term,UP,0.00725,0.02181818182,18:30:00
2011-03-11 8:30:00,82.173,82.071,82.099,82.157,1,USD_RETAIL,Long term,RANGE,0.0407,0.05226048951,8:30:00
2011-03-15 13:15:00,80.878,80.813,80.827,80.836,0.25,USD_IR,Long term,RANGE,0.0184,0.06767694805,13:15:00
2011-03-16 7:30:00,80.825,80.61,80.632,80.784,1.6,USD_PPI,Long term,RANGE,0.1002,0.0411486014,7:30:00
2011-03-17 7:30:00,78.833,78.613,78.662,78.708,0.2,USD_CPI,Long term,RANGE,0.1002,0.05607352941,7:30:00
2011-03-24 18:30:00,81.004,80.953,80.973,80.989,-0.3,JPY_CPI,Long term,RANGE,0.0144,0.03447368421,18:30:00
2011-03-25 7:30:00,81.153,81.093,81.102,81.152,3.1,USD_GDP,Short term,RANGE,0.0144,0.05357523511,7:30:00
2011-03-28 18:30:00,81.735,81.687,81.696,81.732,4.6,JPY_UNEMP,Long term,DOWN,0.01055,-0.03145454545,18:30:00
2011-04-13 7:30:00,84.21,84.026,84.034,84.18,0.4,USD_RETAIL,Short term,DOWN,0.02295,-0.05327272727,7:30:00
2011-04-14 7:30:00,83.157,82.957,83.154,83.026,0.7,USD_PPI,Long term,DOWN,0.01255,-0.06436363636,7:30:00
