12/6/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0,0.1
1/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,-0.4,  ,-0.4
1/11/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,0.1,-0.3
2/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,-0.3,  ,-0.4
2/12/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.3,-0.3,-0.2
3/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,-0.3,  ,-0.3
3/8/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,-0.3
4/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,-0.6,  ,-0.3
4/9/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.2,0.3,0.3
5/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,,% ,-0.6,  ,-0.6
5/8/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,0.2
6/6/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0
7/5/2013,2:15:00,Switzerland                     ,Low Volatility Expected         ,CPI                                                                                                             ,Better Than Expected            ,% ,-0.1,-0.4,-0.5
8/7/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.4,-0.4,0.1
9/6/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0,-0.4
10/8/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.3,0.3,-0.1
11/5/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.1,0.3
12/6/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.2,-0.1
2014/01/10,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.2,-0.1,0
2014/02/12,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.3,-0.3,-0.2
2014/03/07,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,-0.3
2014/04/07,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.4,0.2,0.1
2014/05/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0.4
2014/06/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,0.1
2014/07/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.1,0.3
2014/08/06,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,In Line with Expectation        ,% ,-0.4,-0.4,-0.1
2014/09/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,-0.4
2014/10/07,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,0
2014/11/05,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,0,0.1,0.1
2014/12/08,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,0
2015/01/09,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.5,-0.3,0
2015/02/10,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,-0.4,-0.6,-0.5
2015/03/06,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,-0.1,-0.4
2015/04/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,CPI                                                                                                             ,Better Than Expected            ,% ,0.3,0.2,-0.3
