2016/11/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2016/12/23,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,,% ,0.2,,0.2
2017/01/31,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.2
2017/02/28,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/03/24,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/04/28,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0.3,0.4,evised From 0.4
2017/05/30,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.4,0.3,0.3
2017/06/23,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.5,0.4,0.4
2017/07/28,0:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/08/29,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/09/22,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/10/31,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/11/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.5,0.5,0.5
2017/12/22,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,,% ,0.6,,0.5
2018/01/30,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.6              ,0.50,0.60
2018/02/28,3:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.6              ,0.60,0.60
2018/03/26,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.7              ,0.60,0.60
2018/04/27,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,2.1              ,2.30,2.50
2018/05/30,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,2.2              ,2.10,2.10
2018/06/22,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,2.2              ,2.20,2.20
2018/07/27,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,1.7              ,1.90,2.20
2018/08/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.2              ,0.20,0.20
2018/09/21,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,1.7              ,1.70,1.70
2018/10/30,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,1.5              ,1.50,1.70
2018/11/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,,% ,1.4              ,,1.50
2018/12/21,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,0.3              ,0.40,0.40
2019/01/30,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2019/02/28,3:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.9,0.9,0.9
2019/03/26,3:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,1,0.9,0.9
2019/04/30,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,1.1,1.1,1
2019/05/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,,% ,1.2,,1.1
2019/07/31,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,1.1,1.3,1.2
2019/08/29,1:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.2
2019/10/30,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,0.3,0.2,0.3
2019/11/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,0.3,0.3,0.3
2020/01/31,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,-0.1,0.2,-0.1
2020/02/28,3:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,-0.1,-0.1,0.3
2020/04/30,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Worse Than Expected             ,% ,-5.8,-3.5,-0.1
2020/05/29,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,-5.3,-5.8,-0.1
2020/07/31,1:30:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,Better Than Expected            ,% ,-13.8,-15.3,evised From -5.3
2020/08/28,2:45:00,France                          ,Moderate Volatility Expected    ,French GDP                                                                                                      ,In Line with Expectation        ,% ,-13.8,-13.8,-5.3
