10/3/2012,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.1,-0.1,vised From -0.2
11/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-3,  ,-1.9
11/7/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,-0.1,vised From 0.1
12/1/2012,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.9,  ,-3
12/5/2012,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.2,-0.1,vised From -0.2
1/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.6,  ,-1.9
1/8/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.3,vised From -1.2
2/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.2,  ,-2.6
2/5/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,-0.5,vised From 0.1
3/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2,  ,-2.2
3/5/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,0.2,-0.8
4/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-2.4,  ,-2
4/5/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.2,vised From 1.2
5/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.2,  ,-2.4
5/6/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.1,-0.1,vised From -0.3
6/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.2,  ,-1.2
6/5/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,-0.1,vised From -0.1
7/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-1.6,  ,-0.2
7/3/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1,0.2,vised From -0.5
8/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.9,  ,-1.6
8/5/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.5,-0.6,vised From 1.0
9/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.3,  ,-0.9
9/4/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.4,vised From -0.5
10/1/2013,4:00:00,Euro Zone                       ,Low Volatility Expected         ,Retail Sales                                                                                                    ,,% ,-0.2,  ,-0.3
10/3/2013,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.2,vised From 0.1
11/6/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,-0.4,vised From 0.7
12/4/2013,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.3,-0.6
2014/01/08,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.4,0.2,vised From -0.2
2014/02/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.6,-0.5,vised From 1.4
2014/03/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.6,0.8,vised From -1.6
2014/04/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,-0.6,vised From 1.6
2014/05/06,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,-0.2,vised From 0.4
2014/06/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,vised From 0.3
2014/07/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.2,vised From 0.4
2014/08/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.3
2014/09/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.4,-0.4,vised From 0.4
2014/10/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.2,0.1,-0.4
2014/11/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.3,-0.8,vised From 1.2
2014/12/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.6,vised From -1.3
2015/01/08,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,0.1,vised From 0.4
2015/02/04,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.2,vised From 0.6
2015/03/04,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.1,vised From 0.3
2015/04/08,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.2,-0.2,vised From 1.1
2015/05/06,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,-0.7,vised From -0.2
2015/06/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.7,0.7,vised From -0.8
2015/07/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,0.7
2015/08/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,-0.3,evised From 0.2
2015/09/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,0.6,evised From -0.6
2015/10/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0,-0.1,evised From 0.4
2015/11/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.2,0
2015/12/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.2,-0.1
2016/01/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.2,evised From -0.1
2016/02/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.3,0.3,-0.3
2016/03/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.1,evised From 0.3
2016/04/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,0.1,evised From 0.4
2016/05/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,-0.1,evised From 0.2
2016/06/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.3,evised From -0.5
2016/07/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4,0.4,0.2
2016/08/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0,0.1,0.4
2016/09/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.6,-0.1
2016/10/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.1,-0.3,evised From 1.1
2016/11/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.2,-0.3,evised From -0.1
2016/12/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.1,0.8,evised From -0.2
2017/01/06,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-0.4,-0.4,evised From 1.1
2017/02/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.3,evised From -0.4
2017/03/03,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,0.4,evised From -0.3
2017/04/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.5,evised From -0.1
2017/05/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,0.1,evised From 0.7
2017/06/06,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1,0.2,evised From 0.3
2017/07/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.4,0.3,0.1
2017/08/03,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.5,0.1,0.4
2017/09/05,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,-0.2,evised From 0.5
2017/10/04,4:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.5,0.3,evised From 0.5
2017/11/07,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,0.6,evised From -0.5
2017/12/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.1,-0.7,evised From 0.7
2018/01/08,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.5              ,1.40,-1.10
2018/02/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-1.1             ,-1.10,evised From 1.5
2018/03/05,6:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1             ,0.30,evised From -1.1
2018/04/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1              ,0.60,evised From -0.1
2018/05/04,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1              ,0.50,evised From 0.1
2018/06/05,5:00:00,Euro Zone                       ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.1              ,0.50,evised From 0.1
