2016/05/24,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.7,0.7,0.7
2016/08/12,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.4,0.2,0.7
2016/08/24,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2016/11/15,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.2,0.3,0.4
2016/11/24,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.2,0.2,0.2
2017/01/12,4:00:00,Germany                         ,Low Volatility Expected         ,German GDP Annual                                                                                               ,Better Than Expected            ,% ,1.9,1.8,1.7
2017/02/14,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.4,0.5,evised From 0.2
2017/02/23,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.4,0.4,0.4
2017/05/12,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,0.4
2017/05/23,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,0.6
2017/08/15,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.6,0.7,evised From 0.6
2017/08/25,1:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.6,0.6,0.6
2017/11/14,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Better Than Expected            ,% ,0.8,0.6,0.6
2017/11/23,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.8,0.8,0.8
2018/01/11,4:00:00,Germany                         ,Low Volatility Expected         ,German GDP Annual                                                                                               ,Worse Than Expected             ,% ,2.20             ,2.40,1.90
2018/02/14,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.6              ,0.60,evised From 0.8
2018/02/23,3:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,In Line with Expectation        ,% ,0.6              ,0.60,0.80
2018/05/15,2:00:00,Germany                         ,High Volatility Expected        ,German GDP                                                                                                      ,Worse Than Expected             ,% ,0.3              ,0.40,0.60
