11/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-3.44,  ,-1.04
11/23/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.1,0.3,0
12/1/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-2.37,  ,-3.44
12/20/2012,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-1,0,vised From 0.1
1/1/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-3.38,  ,-2.37
1/24/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.4,0.1,vised From -1.0
2/1/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-2.8,  ,-3.38
2/22/2013,6:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.2,0.3,-0.4
3/1/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-4.81,  ,-2.8
3/27/2013,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.5,0.4,vised From 0.2
4/1/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-3.21,  ,-4.81
4/24/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.4,vised From -0.5
5/1/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-2.88,  ,-3.21
5/23/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.3,-0.2
6/25/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-2.9,  ,vised From -3.0
7/24/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0.1,0.4,-0.1
8/28/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.1,0.1
9/26/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.9,  ,-3
10/25/2013,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0,-0.2,vised From -0.3
11/22/2013,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.4,0
12/20/2013,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,-0.3
2014/01/24,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0.1,,-1.6
2014/02/25,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.4,0
2014/03/26,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,0,0.4,-0.3
2014/04/29,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.4,0
2014/05/23,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.3,-0.2
2014/06/25,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0.4,0.2,-0.2
2014/07/24,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.5,1,vised From 2.6
2014/08/28,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Better Than Expected            ,% ,0,-0.2,vised From -0.7
2014/09/25,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,vised From 0.0
2014/10/24,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,-0.1
2014/11/25,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,vised From -0.1
2014/12/23,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,-0.8,,vised From -0.5
2015/01/22,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,In Line with Expectation        ,% ,0.1,0.1,0
2015/02/26,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.3,0.1
2015/03/27,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,1.7,,0.1
2015/04/22,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.2,0.3,vised From 0.1
2015/05/22,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,vised From -0.2
2015/06/23,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,0,,-0.2
2015/07/22,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.2,0.7
2015/08/31,3:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.3,0.1,evised From -0.1
2015/09/24,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,,% ,1.7,,1.7
2015/10/23,4:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,In Line with Expectation        ,% ,0.3,0.3,evised From 0.4
2015/11/25,5:00:00,Italy                           ,Low Volatility Expected         ,Italian Retail Sales                                                                                            ,Worse Than Expected             ,% ,-0.1,0.5,evised From 0.3
