2014/11/28,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.2,0,0.5
2014/12/23,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.1,,-0.2
2015/01/30,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.9,,-0.1
2015/02/27,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.9,,-0.9
2015/03/31,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.7,,-0.9
2015/04/30,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.1,,vised From 0.7
2015/05/29,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,Worse Than Expected             ,% ,-0.4,0.2,0.1
2015/06/30,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.5,,-0.4
2015/07/31,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.2,,-0.5
2015/08/28,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.1,,-0.2
2015/09/30,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.9,,-0.1
2015/10/30,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.1,,-0.9
2015/11/27,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.2,,0.1
2015/12/18,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.1,,0.2
2016/01/29,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-1.2,,0.1
2016/02/26,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.8,,-1.2
2016/03/31,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.5,,-0.8
2016/04/29,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.3,,-0.5
2016/05/31,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,-0.5,,0.3
2016/06/30,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.3,,-0.5
2016/07/27,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.4,,0.3
2016/08/31,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0,,0.4
2016/09/30,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0,,0
2016/10/28,1:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.1,,0
2016/11/30,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.8,,0.1
2016/12/21,2:45:00,France                          ,Low Volatility Expected         ,French PPI                                                                                                      ,,% ,0.8,,0.8
