2014/05/12,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,3,2.3,vised From 1.0
2014/06/10,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.4,3.5,vised From 3.0
2014/07/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,1.8,vised From 0.4
2014/08/11,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,3.4,0.3,vised From -0.6
2014/09/08,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.6,2.6,vised From 3.4
2014/10/07,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.9,0.7,vised From -0.6
2014/11/07,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,1,vised From 1.9
2014/12/08,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.3,0.9,vised From 0.3
2015/01/16,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.2,1.1,0.3
2015/02/06,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,2.2,0.4,vised From -1.2
2015/03/16,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,2.6,vised From 2.2
2015/04/17,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2.7,0.7,-0.3
2015/05/18,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2.8,-2,vised From -2.7
2015/06/15,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.6,-2.2,-2.8
2015/07/16,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.8,1.9,1.6
2015/08/17,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.9,-0.6,-1.8
2015/09/14,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1,1.5,-0.9
2015/10/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.3,evised From -0.1
2015/11/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.2,0.2,evised From -0.3
2015/12/01,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.8,0.4,0.2
2016/01/11,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-3.1,0.3,evised From -0.8
2016/02/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.6,-1.3,evised From -3.1
2016/03/01,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.2,-1.2,evised From -1.6
2016/04/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.5,evised From 0.2
2016/05/02,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.3,0.3,evised From -0.2
2016/06/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.9,-0.8,evised From -1.3
2016/07/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,-1.6,,evised From -1.9
2016/08/02,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-3.9,-2,evised From -1.6
2016/09/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-2.2,-3.1,evised From -3.9
2016/10/03,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-3,-1.6,evised From -2.2
2016/11/01,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,-2.3,-2.3,evised From -3.0
2016/12/01,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.5,-2,evised From -2.3
2017/01/09,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.9,0.4,evised From -0.5
2017/02/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-3.5,0.5,evised From 0.9
2017/03/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-1.4,-2,evised From -3.5
2017/04/03,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.6,-0.8,evised From -1.4
2017/05/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,2.1,0.5,evised From 0.6
2017/06/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.2,2.4,2.1
2017/07/03,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.3,-0.8,evised From -1.2
2017/08/02,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,1.5,1.3,evised From -0.3
2017/09/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.7,1.7,evised From 1.5
2017/10/02,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.5,-0.7
2017/11/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0.4,evised From -0.2
2017/11/30,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-3,0.3,evised From -0.4
2018/01/09,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.2             ,-2.50,evised From -3.0
2018/02/01,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,0.6              ,1.50,evised From -0.2
2018/03/01,4:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.4             ,1.10,evised From 0.6
2018/04/03,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.2             ,-0.70,evised From -1.4
2018/05/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.8             ,0.30,-0.20
2018/05/31,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,2.2              ,-1.40,evised From -1.8
2018/07/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.1             ,2.60,evised From 2.2
2018/08/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3              ,0.00,evised From -0.1
2018/09/03,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3             ,1.20,evised From 0.3
2018/10/01,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,In Line with Expectation        ,% ,0.4              ,0.40,evised From -0.3
2018/11/02,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-2.7             ,-0.20,evised From 0.4
2018/12/03,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.8              ,-0.70,evised From -2.7
2019/01/08,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.5,-0.7,evised From 0.8
2019/02/01,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.3,0.1,evised From -0.5
2019/03/01,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.4,0.3,evised From -0.3
2019/04/01,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.2,0.3,evised From -0.4
2019/05/02,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-0.7,-0.4,-0.2
2019/05/31,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,-0.7,-0.8,-0.7
2019/07/01,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Worse Than Expected             ,% ,-1.7,0.6,evised From -0.7
2019/08/05,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.7,-0.6,evised From -1.7
2019/09/02,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,1.4,,0.7
2019/10/01,1:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,-1.4,,evised From 1.4
2019/11/01,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,0.9,,evised From -1.4
2019/12/02,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,0.7,,evised From 0.9
2020/01/09,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,0,,evised From 0.7
2020/01/31,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,0.1,,0.5
2020/02/28,3:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,-0.1,,evised From 0.1
2020/03/31,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,Better Than Expected            ,% ,0.3,-0.7,-0.1
2020/04/30,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,-5.6,,0.3
2020/06/02,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,-19.9,,evised From -5.6
2020/06/30,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,6.6,,evised From -19.9
2020/07/31,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,1.1,,evised From 6.6
2020/08/31,2:30:00,Switzerland                     ,Moderate Volatility Expected    ,Retail Sales                                                                                                    ,,% ,4.1,,evised From 1.1
