9/7/2012,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,2.9,2.9,2.9
10/1/2012,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.8,  ,2.8
10/8/2012,0:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,Better Than Expected            ,% ,2.9,3,2.9
11/1/2012,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,2.9,  ,2.8
11/8/2012,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,2.9
12/1/2012,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.1,  ,2.9
12/6/2012,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
1/1/2013,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.3,  ,3.1
1/8/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3,3,3
2/1/2013,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.4,  ,3.3
2/8/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.1,3.1,3
3/1/2013,4:00:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate n.s.a.                                                                                        ,,% ,3.4,  ,3.4
3/7/2013,1:45:00,Switzerland                     ,Moderate Volatility Expected    ,Unemployment Rate s.a.                                                                                          ,In Line with Expectation        ,% ,3.1,3.1,3.1
