2014/07/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,0.4,,-0.4
2014/08/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,0.1,0.4
2014/09/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.6,-0.1,vised From -0.4
2014/10/24,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,0,-0.6
2014/11/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-1.2,-0.1,-0.3
2014/12/23,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-1.5,-0.4,-1.2
2015/01/26,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-3.7,-1.2,-1.5
2015/02/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-2.8,,-3.7
2015/03/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,-1.6,-1.8,-2.8
2015/04/24,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-1.2,,-1.6
2015/05/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,-1,-1.1,vised From -1.2
2015/06/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Worse Than Expected             ,% ,-1.4,-1,vised From -1.0
2015/07/24,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,Better Than Expected            ,% ,-1.4,-1.6,-1.4
2015/08/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,In Line with Expectation        ,% ,-1.3,-1.3,evised From -1.4
2015/09/25,2:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-2.2,,-1.3
2015/10/26,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-3.6,,-2.2
2015/11/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-3.5,,-3.6
2015/12/23,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-2.6,,evised From -3.5
2016/01/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-2.2,,-2.6
2016/02/25,3:00:00,Spain                           ,Low Volatility Expected         ,Spanish PPI                                                                                                     ,,% ,-2.5,,evised From -2.2
