2016/08/25,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.8,0.7,0.7
2016/10/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.8
2016/11/24,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.7
2017/01/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.7
2017/03/02,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7,0.7,0.7
2017/04/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,Better Than Expected            ,% ,0.8,0.7,0.7
2017/05/25,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.8,0.8,0.8
2017/07/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.9,0.9,0.8
2017/08/24,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.9,0.9,0.9
2017/10/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.8,0.8,0.9
2017/11/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.8,0.8,0.8
2018/01/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7              ,0.70,0.80
2018/03/01,4:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7              ,0.70,0.70
2018/04/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7              ,0.70,0.70
2018/05/31,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish GDP                                                                                                     ,In Line with Expectation        ,% ,0.7              ,0.70,0.70
