12/1/2012,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,1.2,  ,0.4
12/13/2012,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.3,-0.1
1/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,1,  ,1.2
1/17/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,0
2/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.8,  ,1
2/13/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.1,0.3,0.1
3/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,0.1,  ,0.8
3/15/2013,3:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0.1,0.2,-0.1
4/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.3,  ,0.1
4/16/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0,-0.1,0.1
5/1/2013,4:00:00,Switzerland                     ,Low Volatility Expected         ,PPI                                                                                                             ,,% ,-0.1,  ,-0.3
5/15/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Better Than Expected            ,% ,0.2,-0.1,0
6/13/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,-0.3,0.1,0.2
7/15/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,In Line with Expectation        ,% ,0.1,0.1,-0.3
8/14/2013,2:15:00,Switzerland                     ,Moderate Volatility Expected    ,PPI                                                                                                             ,Worse Than Expected             ,% ,0,0.2,0.1
