9/12/2013,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,1.5,1.5,1.8
10/11/2013,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.3,0.3,1.5
11/13/2013,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,0.3
12/13/2013,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,-0.1
2014/01/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0.3,0.2,0.2
2014/02/14,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.3
2014/03/12,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,0,-0.1,0.2
2014/04/11,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.1,-0.2,-0.2
2014/05/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.4,0.4,-0.1
2014/06/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.2,0.2,0.4
2014/06/27,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,0.1,0.3,0.2
2014/07/11,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,0.1,0.1,0.2
2014/07/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.3,0.2,0.1
2014/08/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.3,-0.3,0.1
2014/08/28,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.5,-0.2,-0.3
2014/09/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.5,-0.5,-0.3
2014/09/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.3,-0.5
2014/10/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.5
2014/10/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.1,0,-0.2
2014/11/13,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.1,-0.1,-0.2
2014/11/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-0.4,-0.3,-0.1
2014/12/12,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.4,-0.4,-0.1
2014/12/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-1.1,-0.7,-0.4
2015/01/15,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-1,-1.1,-1.1
2015/01/30,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Worse Than Expected             ,% ,-1.4,-1.2,-1
2015/02/13,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-1.3,-1.4,-1.4
2015/02/27,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-1.1,-1.5,-1.3
2015/03/12,3:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-1.1,-1.1,-1.3
2015/03/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.7,-1,-1.1
2015/04/14,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.7,-0.7,-1.1
2015/04/30,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.6,-0.7,-0.7
2015/05/13,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.6,-0.6,-0.7
2015/05/29,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,Better Than Expected            ,% ,-0.2,-0.5,-0.6
2015/06/12,2:00:00,Spain                           ,Moderate Volatility Expected    ,Spanish CPI                                                                                                     ,In Line with Expectation        ,% ,-0.2,-0.2,-0.6
