2014/11/25,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3.9,3.3,3.5
2014/12/23,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,5,4.3,3.9
2015/01/30,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.6,3,5
2015/02/27,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2.2,2.1,2.6
2015/03/27,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.2,2.4,2.2
2015/04/29,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.2,1,2.2
2015/05/29,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,-0.7,-0.8,0.2
2015/06/24,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,-0.2,-0.2,-0.7
2015/07/30,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,2.3,2.6,evised From -0.2
2015/08/27,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3.7,3.2,2.3
2015/09/25,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,3.9,3.7,3.7
2015/10/29,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.5,1.6,3.9
2015/11/24,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,2.1,2.1,1.5
2015/12/22,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2,1.9,2.1
2016/01/29,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.7,0.8,2
2016/02/26,8:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1,0.4,0.7
2016/03/25,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.4,1,1
2016/04/28,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.5,0.7,1.4
2016/05/27,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,0.8,0.9,0.5
2016/06/28,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.1,1,0.8
2016/07/29,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Worse Than Expected             ,% ,1.2,2.6,evised From 1.1
2016/08/26,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,In Line with Expectation        ,% ,1.1,1.1,1.2
2016/09/29,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,1.4,1.3,1.1
2016/10/28,7:30:00,United States                   ,High Volatility Expected        ,GDP                                                                                                             ,Better Than Expected            ,% ,2.9,2.5,1.4
